Year Mo Dy     tave     tmax     tmin       vp    rhmax    rhmin        pp      gust
2000 10 28   11.376   14.820    7.933    1.133    1.015    0.669     0.000     5.037
2000 10 29   12.250   19.697    4.803    0.865    1.002    0.212     0.000     8.800
2000 10 30   10.270   16.956    3.584    0.740    0.813    0.371     0.000     6.154
2000 10 31    5.587    8.230    2.943    0.785    1.002    0.727     0.000     7.546
2000 11  1    7.784   12.445    3.123    0.607    0.910    0.241     0.000    12.936
2000 11  2    3.742    8.976   -1.491    0.482    0.936    0.273     0.000     6.429
2000 11  3    3.507    8.735   -1.721    0.520    0.934    0.390     0.000     3.802
2000 11  4    4.232   13.535   -5.071    0.520    0.990    0.270     0.000     3.704
2000 11  5    2.487    5.268   -0.293    0.471    0.984    0.307     0.000     9.192
2000 11  6   -0.957    2.367   -4.282    0.375    0.958    0.360     0.000    11.544
2000 11  7   -0.026    3.831   -3.884    0.314    0.733    0.299     0.000    10.741
2000 11  8    0.569    6.385   -5.246    0.377    0.901    0.285     0.000     7.781
2000 11  9    2.138    7.515   -3.239    0.395    0.753    0.358     0.000     7.487
2000 11 10   -4.651   -2.708   -6.595    0.362    1.000    0.675     0.000     7.095
2000 11 11   -7.992   -5.856  -10.128    0.310    0.988    0.866     0.000     5.233
2000 11 12   -8.951   -3.344  -14.558    0.247    0.974    0.620     0.000     4.096
2000 11 13   -8.198   -1.051  -15.346    0.220    0.948    0.392     0.000     3.979
2000 11 14   -5.723    1.246  -12.691    0.264    0.930    0.396     0.000     3.312
2000 11 15   -2.244    5.390   -9.877    0.291    0.906    0.222     0.000    12.524
2000 11 16   -4.736   -0.114   -9.358    0.296    0.898    0.480     0.000     7.526
2000 11 17   -5.299    0.904  -11.502    0.257    0.959    0.292     0.000     8.232
2000 11 18      ***      ***      ***      ***      ***      ***       ***       ***
2000 11 19      ***      ***      ***      ***      ***      ***       ***       ***
2000 11 20   -0.588    5.587   -6.764    0.333    0.756    0.385     0.000     5.606
2000 11 21    1.528   11.383   -8.327    0.308    0.768    0.136     0.000     6.154
2000 11 22    5.898   14.806   -3.009    0.437    0.778    0.165     0.000     7.311
2000 11 23    1.840    9.487   -5.806    0.374    0.821    0.253     0.000     3.881
2000 11 24    1.916   12.386   -8.555    0.392    0.958    0.163     0.000     8.663
2000 11 25    1.131    6.950   -4.688    0.390    0.816    0.364     0.000     5.821
2000 11 26    1.804   10.062   -6.455    0.407    0.850    0.321     0.000     6.527
2000 11 27    1.991    7.466   -3.485    0.451    0.857    0.425     0.000    10.016
2000 11 28    1.605    6.351   -3.142    0.399    0.724    0.441     0.000    11.486
2000 11 29   -1.997    3.693   -7.688    0.332    0.868    0.394     0.000     3.900
2000 11 30    1.985   10.124   -6.154    0.397    0.970    0.160     0.000    15.092
2000 12  1      ***      ***      ***      ***      ***      ***       ***       ***
2000 12  2      ***      ***      ***      ***      ***      ***       ***       ***
2000 12  3      ***      ***      ***      ***      ***      ***       ***       ***
